Category,Question,Answer
General,Juliet 'i melt with you' was which band's signature hit released on their 'after the snow' album in 1982,Modern english
Geography,"""Honolulu"" means _____________",Sheltered harbor
General,How many gallons of fuel does a jumbo jet use during take off?,Four thousand
Sports & Leisure,In the game of cricket which bird name means scoring no runs,Duck
Music,With which singer did Westlife record a version of Against all Odds in 2000?,Mariah Carey
 History & Holidays,"In 1951 Howard Hawks Produced The Thing. Who Directed The 1982 remake, Starring Kurt Russell",John Carpenter
General,The Paris stock exchange,Bourse
 History & Holidays,What amendment to the u.s. constitution ended prohibition,The twenty first
General,What game of chance was originally called 'Beano',Bingo
 History & Holidays,Where Did Napoleon Bonaparte Die In Exile?,St Helena
Food & Drink,The eggs of this sturgeon are the preferred form of caviar.,Beluga
General,What is the motto of the three muskateers,All for one & one for all
General,What is the flower that stands for: a heart ignorant of love,White rosebud
General,What nationality was the sculpture Brancusi,Romanian
Toys & Games,"Charles Darrow based his game upon the 1904 ""The Landlord's Game"".",Monopoly
General,"Who sang ""I Want My MTV"" on the Dire Straits song ""Money For Nothing""?",Sting
 History & Holidays,"What country did poinsettias originally come from? (Mexico,Us, Spain ,Brazil)",Mexico
Music,Who Starred As Cole Porter In The 1945 Film Night & Day,Cary Grant
General,"Before Hitting The Big Time As A Singer & Tv Personality What Was ""Perry Como's "" Profession",A Barber / Hair Dresser
Music,What was finally a top ten hit for Ce Ce Peniston on its 1992 Re-Release,Finally
General,"Seventeen thousand how many camels carried the 117,000 volumes of abdul kassem ismael's library",400
General,Under Michigan State law who are officially classed mechanics,Dentists
General,"Medieval monks invented this stopper, necessary for champagne",Cork
General,In the body luteinizing hormone is produced by what gland,Pituitary
Food & Drink,What colour is chablis?,White
Sports & Leisure,Football: The Denver ____?,Broncos
General,What are the stars in traditional Cornish Star Gazey pie,Pilchards eyes
General,What is raku,Japanese pottery
General,Proverbially it was a bold man who  first ate what,An Oyster
Food & Drink,Where is the oldest distillery in the world?,"The Old Bushmills, Cty Antrim"
General,"What countries days include Fire day, Water day and wood day",Japan Tue Wed Thu
General,In golf what would you put in your shag bag,Practice Balls
General,"Constance Markiewicz, Became The Worlds First Ever What In 1918?",First British Female MP
Sports & Leisure,Which Modern Gymnastics Event Made Its First Appearance At The 2000 Sydney Olympics,Trampolining
General,Burning potassium has what colour flame,Purple
General,"Who directed the monochrome (sepia) sequences at the beginning and end of ""the wizard of oz"" (1939)",King vidor
 History & Holidays,Who Became premier of Cuba in 1959.,Fidel Castro
 History & Holidays,According to the song what did my true love give to me on the fifth day of Christmas,Five Gold Rings
General,What is the cap on the fire hydrant called,Bonnet
 Geography,What is the capital of Philippines ?,Manila
Science & Nature,Who Originated The Uncertainty Principle,Heisenberg
General,What dodgers and cubs first-baseman dropped baseball to take up actin,Chuck
General,Which usical instrument was invented by Henry Schluter?,Vibraphone
General,How long is a silver anniversary,25 years
Music,Johnny Marr Teamed Up With Which Former New Order Member To Form The Band Electronic,Bernard Sumner
General,Test of metal or ore for ingredients and quality,Assay
General,What is a woolly bear,Caterpillar
General,What is the name of the telescope that was placed in orbit in the eighties?,Hubble
General,"Where was The Beast, the first mobile robot, developed",Johns hopkins
General,The province of Alberta in Canada has been completely free of rats since what year,1905
General,Arlanda is the airport which serves which European city,Stockholm
Music,What Group Did Nick Cave Sing With Before Forming The Bad Seeds,The Birthday Party
Science & Nature,Sound Navigation Ranging is better known as _________.,Sonar
General,What is a group of geese called,Gaggle
Music,"Which Music Festival Was Attended By Over 400,000 People In 1969",Woodstock
General,The last Nascar driver to serve jail time for running moonshine was who,Buddy arrington
General,"Which Capital City Is Home To ""Carrasco"" International Airport",Montevideo (Uruguay)
General,The worlds what museum is at 19 Green belt North York Ontario,Contraceptive
General,What is hippopotomonstrosesquippedaliophobia the fear of?,Long words
Toys & Games,"In the game of chess, which piece has the most freedom to move?",Queen
Science & Nature,What Is The Function Of The Thyroid Gland,To Regulate Growth & The Metabolism
Music,"Who Claimed That ""Mama Gave Birth To The Soul Children""",Queen Latifah
Food & Drink,Singapore banned which popular western foodstuff because of litter implicatons?,Chewing Guim
General,Metal framework on a vehicle to protect it in the event of a collision with a large animal,Bull bar
General,What is a Bellwether,Leader of flock of sheep
General,As what is 'South West Township' known in south africa,Soweto
General,What is the most important mineral for strong bones & teeth,Calcium
 History & Holidays,What asian leader was known as the little brown saint,Mahatma gandhi
General,Of who did the u.s postal service print 500 million stamps in 1993,Elvis
General,What is 'bountiful mother' in latin,Alma mater
General,What was the name of john lennon and cynthia lennon's son,Sean
General,Lake Vanern is the largest lake in which country,Sweden
General,"What is the missing word in english with the letter combination 'uu' vacuum, muumuu, continuum, residuum, duumvir",Duumvirate
 History & Holidays,Who was the ruler of the USSR from 1917-22?,Vladimir Lenin
General,Isolophobia is the fear of,"Solitude, being alone"
Science & Nature,What Did Jesse Reno Invent Using Traditional Conveyor Belt Principles To Pull Folding Steps Up A Slope,The Escalator
General,"Name the wife of King Ahab, who Jehu ordered to be thrown to her death from a window",Jezebel
General,If not Shakespeare what links Juliet Cleopatra Mark Antony,Commit Suicide
General,Who was the first person to prove that planets move in elliptical orbits,Kepler
General,Who was the first black mayor of Chicago?,Harold Washington
Sports & Leisure,Who Won The US Open Men's *Tennis * Title in 1990 At The Age Of Just 19?,Pete Sampras
General,Which architect designed London's tallest building The Shard?,Renzo Piano
General,"Which meteorological phenomena means ""a curl of hair"" in Latin",Cirrus - clouds
General,Originally a Toss Pot did a lot of what,Drinking - Alcohol
General,What country is Men Without Hats originally from?,Canada
Music,What group was Ringo with before the Beatles?,Rory Storm and the Hurricanes
General,"What Did Bruce Willis, Harvey Keitel & Winston Churchill All have to overcome?",Stutters / Stammers
General,What 3 ingredients make a sidecar cocktail,Brandy Cointreau Lemon juice
General,Anna Maria Louisa Italiano changed her name to what,Anne Bancroft
General,An Aficionado originally followed what sport,Bullfighting
People & Places,Which is the largest of the Canary Islands?,Tenerife
 History & Holidays,The land that would eventually be known as oklahoma was part of the what in 1803,Louisiana purchase.
General,Which U.S. boxer was known as 'The Manessa Mauler',Jack dempsey
Music,"Who Had Minor Hits With ""Dogs Of Lust"", ""Slow Emotion Replay"" And ""Dis -Infected"" EP",The The
General,What does a Stupprator prefer sexually,Virgins
General,An elephant has 400000 what in its trunk,Muscles
General,The Zagros mountain range is in which country,Iran
 Geography,What is the highest mountain in the Appalachian range?,Mt. Mitchell
General,In South Korea traffic police must report what,Tourists bribes taken
General,What does SALT stand for,Strategic arms limitation treaty
General,Which chemical element has the atomic number 4?,Berylium
General,Who had a hit no 5 in US 1971 with Bridge over Troubled Water,Aretha Franklin
 History & Holidays,"William the First was crowned on Christmas day, but in what year",1066
General,What country covers an entire continent,Australia
Music,In which film did Donna Summer make her debut as an aspiring disco singer?,Thank God It's Friday
General,Who was responsible for driving the english out of scotland in 1297,William
Music,Which duo released albums called Introspective and Very?,Pet Shop Boys
General,What is the front of a saddle called?,Pommel
General,Fried Chicken Strawberry Shortcake trad Xmas eve meal where,Japan
General,U.S. Captials - Michigan,Lansing
General,Which epic film was based on a novel by Lew Wallace,Ben hur
General,What are the young of a rabbit called,Kittens
Music,"Paul wrote ""Martha My Dear"". Who did he know who was named Martha?",His Dog
Music,Who filled in for Ringo on the Beatles' 1964 world tour?,Jimmy Nicol
General,What planet did Alf come from?,Melmac
General,Who wrote dionne warwick's 'walk on by' and 'say a little prayer',Burt
General,What is the technical difference between rowing and sculling,Rowing means using a single oar
General,"Outside poland, where is the largest polish population",Chicago
General,In The Film Saving Private Ryan What Was Private Ryan's First Name?,James
General,"What song won the grammy for ""song of the year"" in 1977",You light up my
Music,Which Band From Manchester Incluides The Former Entertainments Manager From The Hacienda (Nightclub),M People
General,How did George II die,Fell off toilet
General,"Electric, Perse and smalt shades of which colour",Blue
General,Every day in the US people steal $20000 from where,Vending machines
General,"Who wrote ""The Picture of Dorian Grey""",Oscar wilde
General,Indiana jones: who was known to get lost in his own museum,Marcus brody
General,"In Which Childrens TV Show Will You Find The Characters Of ""Florrie & Baby Pom""",The Fimbles
General,Mr Chips said goodbye from Brookfield school - What subject,Latin
General,Where is the worlds largest mine,Carletonville South Africa
General,Florence Nightingale tended the soldiers in which war,Crimean
General,What is the name of the cord joining a mother & her unborn child,Umbilical cord
General,What Is Joseph Cyril Bamfords Claim To Fame?,The JCB Earth Mover
 Language,"The name for this semi-precious stone comes from the Latin for ""sea water""",Aquamarine
Music,What Name Appears In The Title Of Both A Beatles Hit And A Novel By ThomasHardy?,Jude
General,"An atom is comprized of these 3 subatomic particles: electron, neutron, & _____",Proton
Music,Which Group Comprises Of Colin Angus And Mr C,The Shamen
General,What are the colours of the Olympics rings (in order).?,Blue Yellow Black Green Red
General,Who Was The First Woman To Appear Naked On The Front Cover Of The Radio Times,Helen Mirren
General,What was known as the spice island,Zanzibar
General,In which county is Charnwood Forest,Leicestershire
General,What is the name of the Tokyo Stock Market Index,Nikkei
General,"In The Pilgrim's Progress, which city of Christian's final destination",Celestial city
Science & Nature,What Do You Get If A Male Donkey Breeds With A Horse?,A Mule
Sports & Leisure,How Many Suits Are There In A Game Of (Mah Jong),3 Suits
Food & Drink,Who released the following album 'Strange brew ',Cream
General,What is the derivative of sin x,Cos x
General,What name is given to the fraction part of a logarithm number?,Mantissa
General,Ralph Freeman designed which Australian landmark,Sydney harbour bridge
Science & Nature,"In Wonderland, Who Took A Watch Out Of His Waistcoat Pocket Only To Discover That He Was Late",The White Rabbit
General,What animals teeth were used as knife blades by the Indians,Beaver
 History & Holidays,In The Film 'Halloween' For How Many Years Was The Killer Locked Up In An Asylum Before He Escaped,15 Years
General,Norman Bean became famous as which author,Edgar Rice Burroughs
General,In which tv series does fred savage play kevin arnold,The wonder years
Science & Nature,The valuable blue form of corundum is called:,Sapphire
Science & Nature," It takes approximately 69,000 venom extractions from the __________",To fill a 1_pint container. coral snake
General,What are people encouraged to kiss under,Mistletoe
General,In Islington in London it?s a 50 fine for sleeping where,The Public Library
General,If a dish is served pomontier what does it contain,Potatoes
Science & Nature,What Describes A Person With No Skin Pigment,An Albino
Music,"Which Of These People Is The Shortest ""Jarvis Cocker, Micheal Stipe Or Nicky Wire""",Michael Stipe
General,Creedence clearwater revival sings 'have you ever ______',Seen the rain
General,"In the tv series 'leave it to beaver', what was wally's best friend's name",Eddie haskell
Sports & Leisure,"In Boxing Who Suffered Defeats To Tim Witherspoon, Mike Tyson & Lennox Lewis",Frank Bruno
 History & Holidays,"In 'Bridget Jones Diary'', Bridget Jones makes a New Years Resolution, to sort out her life, meet a man and keep a diary, but who played Bridget Jones",Rene Zellweger
General,What fashion designers symbol is a swan,Gloria Vanderbilt
General,In which English town or city would you find The Christmas Steps,Bristol
Geography,On which river is Rome located,Tiber
General,96% of American children can recognise - who,Ronald MacDonald
Science & Nature, The female American Oyster lays an average of 500 million eggs per year. Usually only one oyster out of the bunch reaches __________,Maturity
General,What are the grinding teeth called,Molars
Science & Nature,A one-humped camel is called a _________.,Dromedary
General,In 2001 one active UK warship named after an Englishman who,Sir Winston Churchill
General,What country has the most bookshops per head population,New Zealand
Geography,Which U.S. state has the least rainfall,Nevada
Music,"Who Sang The Smokin Dance Hit ""Feel It"" Including The Featured Artist",Tamperer Feat Maya (Pepper)
General, Legal Terms: A supplement to a will.,Codicil
General,Edward Whymper was the first to do what,Climb Matterhorn
General,"A 1957 title recorded by the Crickets, was a line taken from the classic John Ford Western's 'The Searchers'. What was the title",That'll Be the Day
General,Opperman what is the capital of iowa,Des moines
General,"Saanen, Hongtong & Toggenburg Are All Breeds Of Which Animal",Goats
General,Which 9-fingered pop pianist starred in the film Its all Happening,Russ
Sports & Leisure,A Silver Fern Is The Emblem Of Which Nations Rugby Union Team?,New Zealand
General,What is the Latin word for liquid produced by the Ficus Elastica,Latex
General,What is the fear of parents-in-law known as,Soceraphobia
General,Which is the only work by Dukas most people have ever heard of,The sorcerer's apprentice
Geography,What queen were the virgin islands named for in 1627,Elizabeth i
General,What did henry shrapnel invent,Exploding shell
General,What's the collective noun for a group of gulls,Colony
General,The American Society for Prevention of Cruelty to Animals (aspca) was formed in what year,1866
General,In Pac Man eating what was worth 5000 points,Banana
 History & Holidays,"""What Did My True Love Give To Me On The """"Nineth"""" Day Of Christmas""",9 Ladies Dancing
General,What is the Capital of: Virgin Islands,Charlotte amalie
General,What does Do Loop do for a living,Computer programmer
People & Places,What Did You Associate With Rod Hull ?,Emu
General,"Which famous Englishwoman was born in Florence on 12th May 1820,where her well-to-do parents were temporarily resident",Florence nightingale
General,What is the opposite of nocturnal,Diurnal
General,Which Saint is said to have carried his own head for six miles after his death?,St Denis
General,Five out of six of the Village people have got what,Moustaches
General,In Watership Down rabbit language what is a hrududu,A motor car
General,Who is Aladdin's father,Mustapha the tailor
General,Which brother sister won Wimbledon mixed doubles in 1980,John Tracy Austin
General,"What can be a font, architectural style or novel type",Gothic
Geography,In what country is the waterloo battlefield,Belgium
General,"Which Classic Tv Character Was Played By ""Sorrell Brooke"" Between (1979-1985)",Boss Hog
 History & Holidays,In Which Modern Day Country Would You Find The Region Known As Transylvania,Romania
Music,Who Were The Original Members Of Suede,"Brett Anderson, Bernard Butler, Mat Osman, Simon Gilbert, And Justine Frischmann"
General,Who Was Time Magazines Man Of The Year In 1938,Adolf Hitler
General,March 21st to April 20th is what Star sign,Aries
Geography,Where is the city of Brotherly Love,Philadelphia
General,1300 to 1500 it was illegal for Englishmen to have 3 what a day,Meals
 History & Holidays,"In 1959, Berry Gordy Jr. started a small record company called",Motown
General,What Film Won The Oscar For Best Visual Effects Back In 1984,Indiana Jones (Temple Of Doom)
General,Racing driver James Hunts nickname was Hunt the what,Shunt
General,Where is the kitty hawk,Smithsonian
People & Places,Which British comedian became well known for his broken microphone routine?,Norman Collier
General,Calvin and Hobbes artist.,Bill watterson
General,In the US what job has an average IQ of 104,Policeman
Entertainment,"Name the actor who played the leading role in ""The Good, the Bad, and the Ugly"".",Clint Eastwood
Geography,The tallest building in the Southern Hemisphere is in which city,Melbourne
General,"In ballet, an elongated line; in particular, the horizontal line of an arasbesque with one arm stretched front and the other back.",Allong
Geography,What is the capital of France,Paris
General,Who wrote the music to West Side Story,Leonard bernstein
General,What is the currency of Poland,Zloty
Geography,What Was Sri Lanka Previously Known As,Ceylon
General,Who won an Oscar for the soundtrack to Chariots of Fire,Vangelis
General,"In Greek mythology, where were lotuses eaten",Island of jerba
General,Assen in the Netherlands is most famously associated with which sport?,Motorcycling
Music,Which Musical Was Based On H G Wells Novel Kipp's,Half A Sixpence
 History & Holidays,Which great American inventor died in October 1931?,Thomas Edison
General,Who was reportedly the strongest man on earth,Samson
General,Which two fruits are an anagram of each other,Lemon and melon
General,In what country would you be rich in Leu,Rumanian currency
General,Where did Queen Victoria and Prince Albert get married?,St. James' Palace
General,What was the first magazine to publish a hologram on it's cover,National Geographic
General,"Popular social dance during the eighteenth century; done in rows or circles, it may have derived from English country dancing.",Contredanse
Toys & Games,Whose 3_dimensional cube became a 70s & 80s craze,Rubiks cube
Geography,In which continent would you find the mackenzie river,North america
 History & Holidays,Which Olympics did the US boycott?,1980
General,I will please is the Latin translation of what medical treatment,Placebo
General,What is 'mother's ruin'?,Gin
General,The U.S. has never lost a war in which _____ were used,Mules
General,Which actor was the first to play Robin Hood on television,Richard greene
General,Name Disney's first film to win an Academy Award,Flowers and Trees
General,Issur Danielovitch became famous a who,Kirk Douglas
Entertainment,Who took dictation from Perry Mason?,Della Street
Entertainment,Where are Rocket J. Squirel and Bullwinkle Moose from,Frostbite falls
General,What living organism can be 30 times the size of a blue whale,A giant sequoia giant sequoia
Science & Nature,Graphite dust is formed when what is cut with a laser?,Diamond
General,What is the flower that stands for: lasting beauty,Stock
General,What is the Capital of: Seychelles,Victoria
Entertainment,Charles Boyer inspired a cartoon skunk. Who?,Pepe le Pew
General,Who is Prime Minister of Australia,John howard
General,After the Bible what book did Americans rate as their favourite,Sears Roebuck Catalogue
General,A dime is equal to how many cents,Ten
Music,Which Guitar Manufacturer Was Responsible For The Stratocaster,Fender
Music,Which Duo Wrote The Song ?You'll Never Walk Alone??,Rogers & Hammerstein
General,What is the capital of New Jersey,Trenton
General,What is john robertson osbourne's stage name,Ozzy osbourne
General,"Who was the most notable wife of King Priam of Troy during the Trojan War, having no less than 19 children to him?",Hecuba
People & Places,Whose son got lost in the desert during the Paris Daker rally ?,Mrs Thathchers Son Mark
General,Who plays 'Cat' in Red Dwarf,Danny john-jules
General,What was the leading cause of death in the late 19th century,Tuberculosis
Science & Nature, The most carnivorous of all bears is the __________. Its diet consists almost entirely of seals and fish.,Polar bear
Music,Which Year Did Bryan Adams Refer To In 1985,1969 (Summer Of 69)
General,What is an algonquin,Moose
General,A temple in Sri-Lanka is dedicated to what,Buddha's tooth
Science & Nature,What Is The Study Of Low Temperatures Called,Cryogenics
 History & Holidays,What English city was known to the Romans as Venta Bulgarum?,Winchester
Science & Nature,What is the symbol for iron in chemistry?,Fe
 Geography,What is the capital of North Carolina?,Raleigh
Entertainment,What job was Sting before he was a rock star?,Teacher
General,What is compressed snow also called,Neve
General,Adolph Hitler had a phobia - what,Claustrophobia
General,"In the Bible, who is the Book of Proverbs attributed to",Solomon
General,Who kept searching for his long lost salt shaker,Jimmy buffet
General,Which two teams automatically qualified for the france '98 soccer world cup,France and brazil
General,Where did Thomas Magnum grow up as a kid?,San Diego
General, The feeling of having experienced something before is known as _______.,Deja vu
 History & Holidays,What was the leading cause of death in the late 19th century?,Tuberculosis
General,Who was the first novelist to present a typed manuscript to his publisher,Mark twain
Science & Nature," Despite man's fear and hatred of the wolf, it has not ever been proved that a non_rabid wolf ever attacked a __________",Human
Science & Nature,What does LPG stands for?,Liquid Petroleum Gas
General,What is the French phrase that means already seen,Dj vu
General,What school does Harry Potter attend,Hogwarts
General,"Which company, during the 1984 Super Bowl, aired what is considered one of the best commercials in TV history?",Apple
General,What is unusual about The lake of Monteith in Scotland,Only one the rest are Lochs
Food & Drink,Who In The World Of Music Has The Real Name Of Derek Dick,Fish
Music,"""Radio Gaga"" Was A 1984 Hit For Whom",Queen
General,Musical groups: england dan and _____,John ford coley
General,"The world's smallest mammal is the _______ ___ of Thailand, weighing less than a penny",Bumblebee bat
General,The treatment of disease by chemical substances which are toxic to the causative micro-organisms is called ____________.,Chemotherapy
Music,Name The Hit Making 3 Tenors,"Jose Carreras, Placido Domingo, Luciano Pavarotti"
General,What animal is responsible for most deaths in the USA annually,Dogs
Geography,Where would you be if you landed smack in the middle of plock,Poland
General,What is the fear of heredity known as,Patroiophobia
General,License Plates: What job does SRREAL have,Artist
Science & Nature,A Phon is a unit of what?,Loudness
General,Who was the law for a shire,Reeve
General,What lies east of mauritius,Australia
General,"Cushat, Rock and Stock all types of which creature",Doves
 Geography,What is the capital of Liberia ?,Monrovia
General,In which war was the charge of the Light Brigade,Crimean
General,Sir Eyre Massey Shaw hold what Olympic record from 1900,Oldest gold yachting he was 70
 History & Holidays,Where In Egypt Is The Tomb Of Tutankhamen,"Valley Of The Kings, Luxor"
General,Your suffering from circadian dysrhythmia what have you got,Jet Lag
General,The word for soda in Japanese when translated means what,Poisoned Water
General,Who did patrick macnee portray in the spy drama the avengers,Jonathan steed
Music,"In Which Year Did ""Wooden Heart"" & ""Surrender"" Reach No.1 For Elvis",1961
 History & Holidays,*What were the 'character' names of the 3 lead women of Charlie's Angels? (PFE)*,"Sabrina, Kelly, Jill"
General,About which game has most books been written,Chess
Music,For Whom Did David Byrne Produce An Album Called Mesopotamia In 1981,B52's
Sports & Leisure,Which snooker player ended Stephen Hendry's five-year unbeaten run at The Crucible?,Ken Doherty
General,"This delightfully soft topping, care of your local bovine",Cheese
General,15% of American males are what - so are bulls,Colour Blind
Sports & Leisure,In Which Athletics Event Are Competitors Known As Either 'Spinners Or Shifters'',Shot Putt
Entertainment,Who hosted the 1997 Grammy Awards?,Ellen Degeneres
Art & Literature,Which Shakespearean Character Has The Most Lines,Hamlet
General,Which American author wrote Moby Dick,Herman melville
General,An external agent that alters foetal development is called a,Teratogen
General,"Who said 'ask not what your country can do for you, but what you can do for your country'",John f kennedy
General,What is a boats speed measured in,Knots
General,On a chemical what does a skull and cross-bone mean ?,Toxic
General,Who patrols gotham city,Batman and robin
Entertainment,"Who portrayed Han Solo in ""Star Wars""?",Harrison Ford
Sports & Leisure,Where were the 1988 Olympics held ?,"Seoul, South Korea"
General,What do like charges do,Repel
General,What is the fear of microbes known as,Microbiophobia
General,The Atlanta Hawks basketball team have retired 23 which used to belong to _____,Lou hudson
 History & Holidays,In What Year Did The Vietnam War Begin,1954
General,What is the capital of the dominican republic,Santo domingo
General,Psychologists says men who do what during sex are insecure,Keep socks on
General,Who had a hit in 1986 with 'Don't Leave Me This Way',The communards
General,Whose symphony number seven is called the Leningrad,Shostakovich
